Second,Requests,Error codes
0,42244,1
1,43436,1
2,49412,1
3,50684,1
4,48449,1
5,48381,1
6,51949,1
7,47175,1
8,49317,1
9,44062,1
10,47596,1
11,49620,1
12,50496,1
13,50211,1
14,48103,1
15,48387,1
16,49587,1
17,49733,1
18,50709,1
19,50205,1
20,43450,1
21,48850,1
22,49049,1
23,50331,1
24,49862,1
25,49363,1
26,46884,1
27,43636,1
28,48108,1
29,49866,1
30,48170,1
31,49788,1
32,47002,1
33,48951,1
34,49946,1
35,48982,1
36,50120,1
37,49973,1
38,50042,1
39,50104,1
40,46693,1
41,43856,1
42,48401,1
43,47005,1
44,44625,1
45,41694,1
46,48025,1
47,46672,1
48,46085,1
49,47768,1
50,45133,1
51,51272,1
52,41862,1
53,45374,1
54,47961,1
55,46842,1
56,48643,1
57,47718,1
58,48257,1
59,48414,1
60,50833,1
61,49190,1
62,49618,1
63,50273,1
64,48225,1
65,47317,1
66,48249,1
67,45514,1
68,45885,1
69,45210,1
70,51560,1
71,44979,1
72,46028,1
73,47430,1
74,46398,1
75,35372,1
76,44997,1
77,50159,1
78,48271,1
79,49241,1
80,47492,1
81,47005,1
82,50292,1
83,49720,1
84,50043,1
85,49002,1
86,50029,1
87,49217,1
88,50357,1
89,49677,1
90,47203,1
91,46215,1
92,49651,1
93,48679,1
94,49402,1
95,49073,1
96,53671,1
97,47620,1
98,48213,1
99,48856,1
100,50487,1
101,45147,1
102,49064,1
103,44815,1
104,47848,1
105,47635,1
106,46215,1
107,43647,1
108,50385,1
109,47958,1
110,50005,1
111,51400,1
112,50495,1
113,44830,1
114,49915,1
115,47767,1
116,51003,1
117,50525,1
118,50257,1
119,50477,1
120,48826,1
121,49809,1
122,46761,1
123,49122,1
124,48867,1
125,48283,1
126,49575,1
127,48840,1
128,51133,1
129,46520,1
130,51065,1
131,48409,1
132,50548,1
133,45816,1
134,47412,1
135,51381,1
136,47158,1
137,49910,1
138,47804,1
139,42932,1
140,49106,1
141,51465,1
142,51829,1
143,50571,1
144,46710,1
145,47036,1
146,42010,1
147,45618,1
148,46715,1
149,47111,1
150,50698,1
151,50162,1
152,46164,1
153,46707,1
154,44230,1
155,50451,1
156,51799,1
157,46794,1
158,47749,1
159,47339,1
160,49546,1
161,39918,1
162,45625,1
163,47996,1
164,46991,1
165,47259,1
166,50950,1
167,49841,1
168,48183,1
169,51492,1
170,49075,1
171,45419,1
172,49725,1
173,45160,1
174,38096,1
175,42175,1
176,49264,1
177,49291,1
178,50127,1
179,50085,1
180,48509,1
181,48353,1
182,45480,1
183,49634,1
184,51024,1
185,48608,1
186,42974,1
187,43863,1
188,44855,1
189,48247,1
190,50199,1
191,51304,1
192,45486,1
193,43932,1
194,45256,1
195,44633,1
196,51181,1
197,41137,1
198,49572,1
199,45870,1
200,44268,1
201,50530,1
202,49924,1
203,48965,1
204,38732,1
205,47039,1
206,47342,1
207,48498,1
208,43428,1
209,47242,1
210,46256,1
211,48599,1
212,48273,1
213,46899,1
214,44116,1
215,43225,1
216,46787,1
217,45804,1
218,46307,1
219,47567,1
220,42290,1
221,42597,1
222,46474,1
223,48154,1
224,46025,1
225,49647,1
226,48171,1
227,44311,1
228,49641,1
229,46614,1
230,51380,1
231,44202,1
232,46090,1
233,39903,1
234,44876,1
235,46102,1
236,47419,1
237,39930,1
238,42402,1
239,47285,1
240,46776,1
241,43056,1
242,50161,1
243,48281,1
244,47411,1
245,51064,1
246,48491,1
